W-P,First Choice,Second Choice,Third Choice,Count
2001-06-08,A.M. RAHAMAN,VRE,WEN,1.0
2001-09-04,ADRIAN PETERSON,JUSTIN MONREAU,AL JEFFERSON,1.0
2001-08-03,"ALBERT KELLY, JR",XXX,XXX,1.0
2001-09-05,ANNE KEIRSTEAD,XXX,XXX,1.0
2001-12-01,BRAD STAMP,JAMES HILL,XXX,1.0
2001-09-03,BRIAN STROCK,WEN,VRE,1.0
2001-08-01,CARLA PULLES,WEN,VRE,1.0
2001-09-01,DAVE RASMUS,XXX,XXX,1.0
2001-09-09,DAVID WAHLSTEDT,XXX,XXX,1.0
2001-09-09,EMILY J. GOOD,XXX,XXX,1.0
2001-09-04,ERIC D. ZUELKE,XXX,XXX,1.0
2001-06-05,ERIK GRANT,DAN RENK,WILL RENK,1.0
2001-02-01,GARY EISCHENS,WEN,VRE,1.0
2001-09-05,INCUMBENT,XXX,XXX,1.0
2001-02-02,IRENE JONES,VRE,ROSEMARY KNUTSON,1.0
2001-06-06,JACK NELSON-POLLMEYER,XXX,XXX,1.0
2001-09-02,JAY FOLSETH,XXX,XXX,1.0
2001-09-02,JERRY WHITE,XXX,XXX,1.0
2001-08-01,JERSHURUN GILMAN,WEN,VRE,1.0
2001-08-01,JESHURUN D. GILMAN,WEN,XXX,1.0
2001-09-09,JOHN MCKINLEY BRADLEY,TODD J. EBERHARDY,XXX,1.0
2001-06-06,JOY RIVERA,TISH RIVERA,SANDRA RIVERA,1.0
2001-02-01,JUSTINS WELLS,BRADLEY SCHWAB,WEN,1.0
2001-06-05,"KEITH DVORAK, JR",XXX,XXX,1.0
2001-08-01,LESLIE PARKS,VERNICE TENSLEG,RON BELL,1.0
2001-02-01,MAGGIE MICHAELSEN,VRE,STEVE CLEMENS,1.0
2001-08-01,MARIE HAUSER,XXX,XXX,1.0
2001-09-06,NAY,XXX,XXX,1.0
2001-02-01,NORLENE EISCHENS,VRE,WEN,1.0
2001-09-06,PAMELA REIMLER,XXX,XXX,1.0
2001-12-01,SEAN GRAVES,XXX,XXX,1.0
2001-06-06,SHIRLEY HEYER,VRE,BRAD PASS,1.0
2001-06-06,SHIRLEY HEYER,VRE,WEN,1.0
2001-09-10,SHIRLEY HEYER,VRE,WEN,1.0
2001-06-06,SHIRLEY HEYER,VRE,XXX,1.0
2001-09-03,SHIRLEY HEYER,VRE,XXX,4.0
2001-09-04,SHIRLEY HEYER,VRE,XXX,6.0
2001-09-10,SHIRLEY HEYER,VRE,XXX,2.0
2001-09-04,SHIRLEY HEYER,WEN,VRE,1.0
2001-09-10,SHIRLEY HEYER,WEN,XXX,1.0
2001-09-03,SHIRLEY HEYER,XXX,XXX,2.0
2001-09-04,SHIRLEY HEYER,XXX,XXX,1.0
2001-09-05,SHIRLEY HEYER,XXX,XXX,1.0
2001-09-10,SHIRLEY HEYER,XXX,XXX,9.0
2001-09-06,SHIRLEY HYER,XXX,XXX,1.0
2001-08-03,STEVE KOLRUD,XXX,XXX,1.0
2001-12-01,STUART SUMMERS,XXX,XXX,1.0
2001-09-04,VRE,ASHLEY SIERRA,AARON STREET,1.0
2001-02-02,VRE,BRIAN HUSEBY,XXX,1.0
2001-09-05,VRE,CAROL COCHRAN,XXX,1.0
2001-07-11,VRE,CYNTHIA KRIHA,TYRONE BUJOLD,1.0
2001-12-01,VRE,DAN RIONS ,WEN,1.0
2001-12-01,VRE,DAN RIONS ,XXX,1.0
2001-12-01,VRE,DEAN LAMBRECHT,KAREN GUSTAFSON,1.0
2001-02-02,VRE,DEAN ZIMMERMAN,XXX,1.0
2001-09-01,VRE,ERIC DIETZ,TOM FISKE,1.0
2001-06-05,VRE,GARETH ARMSON,XXX,1.0
2001-09-02,VRE,HARRY THE HELLCAT,WEN,1.0
2001-12-01,VRE,HECTOR LARUE,XXX,1.0
2001-12-01,VRE,I.R.V. NOT NECESSARY,XXX,1.0
2001-09-02,VRE,JAMES KERR,XXX,1.0
2001-09-09,VRE,JIMMY JOHN,XXX,1.0
2001-09-02,VRE,JOE SOME,JOKE TOKED,1.0
2001-09-09,VRE,MANDY ELLERTON,XXX,1.0
2001-02-02,VRE,MARY LOCKE,XXX,1.0
2001-12-01,VRE,MIKE FORDE,XXX,1.0
2001-12-01,VRE,NOBODY,NO ONE,1.0
2001-02-02,VRE,NONE,XXX,1.0
2001-08-02,VRE,NOT A,XXX,1.0
2001-02-02,VRE,PAPA SMURF,MEREDITH KLEKOTICA,1.0
2001-09-04,VRE,PATRICIA L. CHRISTENSEN,XXX,1.0
2001-12-01,VRE,RANDY CLEVEN,CAROL CLEVEN,1.0
2001-07-11,VRE,RON HAFFNER,SARA DOLNY,1.0
2001-02-02,VRE,RUSS DAVIS,JOEL EATON,1.0
2001-12-01,VRE,SEAN BROOM,XXX,1.0
2001-09-04,VRE,SHERLEY HAYES,XXX,1.0
2001-09-03,VRE,SHIRLEY HEYER,XXX,1.0
2001-06-08,VRE,STEPHEN R. COURY,XXX,1.0
2001-09-09,VRE,STEVEN RENDEROS,XXX,1.0
2001-09-01,VRE,WEN,ANDY GUMP,1.0
2001-02-01,VRE,WEN,ANNA BOYAL,1.0
2001-02-07,VRE,WEN,BOB FINE,1.0
2001-12-01,VRE,WEN,BOB FINE,1.0
2001-08-01,VRE,WEN,DAVID CORAL,1.0
2001-02-01,VRE,WEN,DAVID WLASANZ,1.0
2001-09-01,VRE,WEN,DONNA MIANK,1.0
2001-08-02,VRE,WEN,FLORENCE HILL,1.0
2001-09-06,VRE,WEN,GERALD ODERMANN,1.0
2001-08-02,VRE,WEN,LAMARR SCOTT,1.0
2001-02-01,VRE,WEN,MARGARET MICHAELSON,1.0
2001-09-09,VRE,WEN,MARK ADZICK,1.0
2001-02-02,VRE,WEN,MARY POPPINS,1.0
2001-08-02,VRE,WEN,MATT ALLEN,1.0
2001-09-05,VRE,WEN,ONEIROS,1.0
2001-12-01,VRE,WEN,PAM BURROWS,2.0
2001-02-08,VRE,WEN,PATRICIA AMO,1.0
2001-09-02,VRE,WEN,ROBERT GUNDERSON,1.0
2001-02-02,VRE,WEN,ROBIN GARDWOOD,1.0
2001-09-05,VRE,WEN,SIR DR STEPHEN COLBERT D.F.A.,1.0
2001-09-03,VRE,WEN,STEPHENNIE UWIS,1.0
2001-06-08,VRE,WEN,TIM HICKMAN,1.0
2001-12-01,VRE,WEN,TIM PAWLENTY,1.0
2001-12-01,VRE,WEN,WALTER MONDALE,1.0
2001-06-07,VRE,WEN,WAYNE M. JENSEN,1.0
2001-02-01,VRE,WEN,XXX,22.0
2001-02-01,VRE,WEN,XXX,32.0
2001-02-02,VRE,WEN,XXX,32.0
2001-02-02,VRE,WEN,XXX,66.0
2001-02-07,VRE,WEN,XXX,15.0
2001-02-08,VRE,WEN,XXX,13.0
2001-02-09,VRE,WEN,XXX,18.0
2001-02-10,VRE,WEN,XXX,19.0
2001-06-05,VRE,WEN,XXX,12.0
2001-06-06,VRE,WEN,XXX,2.0
2001-06-06,VRE,WEN,XXX,4.0
2001-06-07,VRE,WEN,XXX,22.0
2001-06-08,VRE,WEN,XXX,34.0
2001-07-11,VRE,WEN,XXX,27.0
2001-08-01,VRE,WEN,XXX,21.0
2001-08-02,VRE,WEN,XXX,18.0
2001-08-03,VRE,WEN,XXX,9.0
2001-09-01,VRE,WEN,XXX,4.0
2001-09-01,VRE,WEN,XXX,34.0
2001-09-02,VRE,WEN,XXX,63.0
2001-09-03,VRE,WEN,XXX,5.0
2001-09-04,VRE,WEN,XXX,14.0
2001-09-05,VRE,WEN,XXX,29.0
2001-09-06,VRE,WEN,XXX,42.0
