W-P,First Choice,Second Choice,Third Choice,Count
2001-04-08,CER,ED FOSS,XXX,1.0
2001-04-03,CER,GREGORY HODGSON,DELRAE HODGSON,1.0
2001-04-02,CER,HAR,JOH,1.0
2001-04-03,CER,HAR,JOH,1.0
2001-04-04,CER,HAR,JOH,2.0
2001-04-05,CER,HAR,JOH,1.0
2001-04-08,CER,HAR,JOH,1.0
2001-04-09,CER,HAR,JOH,1.0
2001-04-01,CER,HAR,PAR,1.0
2001-04-02,CER,HAR,PAR,4.0
2001-04-04,CER,HAR,PAR,5.0
2001-04-05,CER,HAR,PAR,1.0
2001-04-06,CER,HAR,PAR,4.0
2001-04-07,CER,HAR,PAR,6.0
2001-04-08,CER,HAR,PAR,8.0
2001-04-09,CER,HAR,PAR,6.0
2001-04-10,CER,HAR,PAR,1.0
2001-04-04,CER,HAR,SCOTT LANDBY,1.0
2001-04-01,CER,HAR,XXX,2.0
2001-04-02,CER,HAR,XXX,7.0
2001-04-03,CER,HAR,XXX,1.0
2001-04-04,CER,HAR,XXX,4.0
2001-04-07,CER,HAR,XXX,3.0
2001-04-08,CER,HAR,XXX,2.0
2001-04-10,CER,HAR,XXX,3.0
2001-04-04,CER,HEIDI GRANT,XXX,1.0
2001-04-04,CER,JOH,BRAD DOLL,1.0
2001-04-01,CER,JOH,HAR,2.0
2001-04-01,CER,JOH,HAR,5.0
2001-04-02,CER,JOH,HAR,1.0
2001-04-03,CER,JOH,HAR,2.0
2001-04-04,CER,JOH,HAR,2.0
2001-04-06,CER,JOH,HAR,2.0
2001-04-08,CER,JOH,HAR,1.0
2001-04-09,CER,JOH,HAR,1.0
2001-04-10,CER,JOH,HAR,1.0
2001-04-10,CER,JOH,JAISHUA DEMARS,1.0
2001-04-01,CER,JOH,PAR,1.0
2001-04-02,CER,JOH,PAR,4.0
2001-04-03,CER,JOH,PAR,3.0
2001-04-04,CER,JOH,PAR,6.0
2001-04-05,CER,JOH,PAR,1.0
2001-04-06,CER,JOH,PAR,2.0
2001-04-08,CER,JOH,PAR,1.0
2001-04-09,CER,JOH,PAR,1.0
2001-04-10,CER,JOH,PAR,2.0
2001-04-01,CER,JOH,XXX,3.0
2001-04-02,CER,JOH,XXX,1.0
2001-04-03,CER,JOH,XXX,2.0
2001-04-04,CER,JOH,XXX,4.0
2001-04-06,CER,JOH,XXX,5.0
2001-04-07,CER,JOH,XXX,5.0
2001-04-08,CER,JOH,XXX,2.0
2001-04-09,CER,JOH,XXX,6.0
2001-04-10,CER,JOH,XXX,3.0
2001-04-06,CER,MIKE REGAN,XXX,1.0
2001-04-02,CER,PAR,HAR,2.0
2001-04-03,CER,PAR,HAR,3.0
2001-04-04,CER,PAR,HAR,3.0
2001-04-05,CER,PAR,HAR,4.0
2001-04-06,CER,PAR,HAR,3.0
2001-04-07,CER,PAR,HAR,5.0
2001-04-08,CER,PAR,HAR,3.0
2001-04-09,CER,PAR,HAR,4.0
2001-04-10,CER,PAR,HAR,1.0
2001-04-01,CER,PAR,JOH,3.0
2001-04-02,CER,PAR,JOH,2.0
2001-04-03,CER,PAR,JOH,3.0
2001-04-04,CER,PAR,JOH,3.0
2001-04-05,CER,PAR,JOH,1.0
2001-04-08,CER,PAR,JOH,2.0
2001-04-09,CER,PAR,JOH,1.0
2001-04-10,CER,PAR,JOH,2.0
2001-04-01,CER,PAR,XXX,5.0
2001-04-03,CER,PAR,XXX,1.0
2001-04-04,CER,PAR,XXX,3.0
2001-04-05,CER,PAR,XXX,1.0
2001-04-08,CER,PAR,XXX,1.0
2001-04-09,CER,PAR,XXX,2.0
2001-04-10,CER,PAR,XXX,1.0
2001-04-01,CER,XXX,XXX,22.0
2001-04-02,CER,XXX,XXX,1.0
2001-04-02,CER,XXX,XXX,21.0
2001-04-03,CER,XXX,XXX,16.0
2001-04-04,CER,XXX,XXX,25.0
2001-04-05,CER,XXX,XXX,6.0
2001-04-06,CER,XXX,XXX,18.0
2001-04-07,CER,XXX,XXX,35.0
2001-04-08,CER,XXX,XXX,19.0
2001-04-09,CER,XXX,XXX,13.0
2001-04-10,CER,XXX,XXX,10.0
2001-04-09,DAVID LOMBARD,XXX,XXX,1.0
2001-04-04,HAR,CER,HAR,1.0
2001-04-03,HAR,CER,JOH,3.0
2001-04-07,HAR,CER,JOH,1.0
2001-04-08,HAR,CER,JOH,3.0
2001-04-01,HAR,CER,PAR,3.0
2001-04-02,HAR,CER,PAR,5.0
2001-04-03,HAR,CER,PAR,2.0
2001-04-04,HAR,CER,PAR,2.0
2001-04-05,HAR,CER,PAR,7.0
2001-04-06,HAR,CER,PAR,2.0
2001-04-07,HAR,CER,PAR,7.0
2001-04-08,HAR,CER,PAR,7.0
2001-04-09,HAR,CER,PAR,4.0
2001-04-10,HAR,CER,PAR,2.0
2001-04-04,HAR,CER,XXX,1.0
2001-04-04,HAR,CER,XXX,3.0
2001-04-06,HAR,CER,XXX,1.0
2001-04-07,HAR,CER,XXX,2.0
2001-04-01,HAR,JOH,CER,4.0
2001-04-02,HAR,JOH,CER,1.0
2001-04-07,HAR,JOH,CER,1.0
2001-04-08,HAR,JOH,CER,3.0
