W-P,First Choice,Second Choice,Third Choice,Count
2001-02-05,JOHN COLTRANE,XXX,XXX,1.0
2001-02-02,KARL KNUTSON,XXX,XXX,1.0
2001-02-03,KATIE FOURNIER,XXX,XXX,1.0
2001-02-01,MAGGIE MICHAELSEN,CARA LEFTOFSKY,GOR,1.0
2001-02-09,M-ALI,XXX,XXX,1.0
2001-02-02,MARK KRAEMER,XXX,XXX,1.0
2001-02-06,MICHAEL GOULD,XXX,XXX,1.0
2001-02-01,NO ONE,XXX,XXX,1.0
2001-02-02,NONE,XXX,XXX,1.0
2001-02-01,NORLENE EISCHENS,XXX,XXX,1.0
2001-02-02,PEOPLE WHO DON'T MAKE SHADY DEALS WITH CORPORATE PARTIES,GOR,XXX,1.0
2001-02-06,TONY GARMERS,XXX,XXX,1.0
2001-02-01,XXX,XXX,XXX,3.0
2001-02-01,XXX,XXX,XXX,12.0
2001-02-02,XXX,XXX,XXX,22.0
2001-02-03,XXX,XXX,XXX,7.0
2001-02-04,XXX,XXX,XXX,3.0
2001-02-05,XXX,XXX,XXX,18.0
2001-02-06,XXX,XXX,XXX,15.0
2001-02-07,XXX,XXX,XXX,7.0
2001-02-08,XXX,XXX,XXX,3.0
2001-02-09,XXX,XXX,XXX,20.0
2001-02-10,XXX,XXX,XXX,36.0
2001-02-11,XXX,XXX,XXX,7.0
