contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
"2012 Member, City Council, District 1- Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 1- Oakland_Nov 2012.txt"
"2012 Member, City Council, District 5- Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 5- Oakland_Nov 2012.txt"
"2012 Member, City Council, District 7- Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 7- Oakland_Nov 2012.txt"
"2012 Member, City Council,District 3 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council,District 3 - Oakland_Nov 2012.txt"
"2012 School Director, District 1 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_School Director, District 1 - Oakland_Nov 2012.txt"
"2012 School Director, District 3 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_School Director, District 3 - Oakland_Nov 2012.txt"
"2012 School Director, District 5 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_School Director, District 5 - Oakland_Nov 2012.txt"
"2012 School Director, District 7 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_School Director, District 7 - Oakland_Nov 2012.txt"
San Francisco Board of Supervisors District 5 2012,San Francisco,CA,2012,11/6/2012,Board of Supervisors District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2012_District 5 Supervisors/D5-BallotImage.txt
San Francisco Board of Supervisors District 7 2012,San Francisco,CA,2012,11/6/2012,Board of Supervisors District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2012_District 7 Supervisors/D7-BallotImage.txt
"2012 Member, City Council, District 2 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - San Leandro_Nov 2012.txt"
"2012 Member, City Council, District 4 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 4 - San Leandro_Nov 2012.txt"
"2012 Member, City Council, District 6 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 6 - San Leandro_Nov 2012.txt"
Cambridge City Council 2013,Cambridge,MA,2013,11/5/2013,City Council,FALSE,FALSE,,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2013/Council/Final/council.chp
Cambridge School Committee 2013,Cambridge,MA,2013,11/5/2013,School Committee,FALSE,FALSE,,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2013/School/Final/school.chp
Minneapolis BOE 2013,Minneapolis,MN,2013,11/5/2013,Board of Estimate and Taxation,FALSE,TRUE,TRUE,,,minneapolis,,stv_fractional_ballot,2,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-board of estimation and taxation cvr.xlsx.csv
Minneapolis Mayor 2013,Minneapolis,MN,2013,11/5/2013,Mayor,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-mayor-cvr.xlsx.csv
Minneapolis Park At Large 2013,Minneapolis,MN,2013,11/5/2013,Park & Rec Board At Large,FALSE,TRUE,TRUE,,,minneapolis,,stv_fractional_ballot,3,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-at-large-cvr.xlsx.csv
Minneapolis Park District 2 2013,Minneapolis,MN,2013,11/5/2013,P&R Board District 2,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-district-2-cvr.xlsx.csv
Minneapolis Park District 6 2013,Minneapolis,MN,2013,11/5/2013,P&R Board District 6,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-district-6-cvr.xlsx.csv
Minneapolis Ward 13 2013,Minneapolis,MN,2013,11/5/2013,Ward 13 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-13-cvr.xlsx.csv
Minneapolis Ward 5 2013,Minneapolis,MN,2013,11/5/2013,Ward 5 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-5-cvr.xlsx.csv
Minneapolis Ward 9 2013,Minneapolis,MN,2013,11/5/2013,Ward 9 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-9-cvr.xlsx.csv
2014 City Auditor - Berkeley Nov 2014,Berkeley,CA,2014,11/4/2014,City Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_City Auditor - Berkeley_Nov 2014.txt"
"2014 Member, City Council, District 1 - Berkeley Nov 2014",Berkeley,CA,2014,11/4/2014,City Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 1 - Berkeley_Nov_2014.txt"
"2014 Member, City Council, District 7 - Berkeley Nov 2014",Berkeley,CA,2014,11/4/2014,City Council District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2014.txt"
"2014 Member, City Council, District 8 - Berkeley Nov 2014",Berkeley,CA,2014,11/4/2014,City Council District 8,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2014.txt"
2014 City Auditor - Oakland Nov 2014,Oakland,CA,2014,11/4/2014,City Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_City Auditor - Oakland_Nov 2014.txt"
2014 Mayor - Oakland Nov 2014,Oakland,CA,2014,11/4/2014,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Mayor - Oakland_Nov 2014.txt"
"2014 Member, City Council, District 2 - Oakland Nov 2014",Oakland,CA,2014,11/4/2014,City Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 2 - Oakland_Nov 2014.txt"
"2014 Member, City Council, District 4 - Oakland Nov 2014",Oakland,CA,2014,11/4/2014,City Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 4 - Oakland_Nov 2014.txt"
"2014 Member, City Council, District 6 - Oakland Nov 2014",Oakland,CA,2014,11/4/2014,City Council District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 6 - Oakland_Nov 2014.txt"
"2014 School Director, District 2 - Oakland Nov 2014",Oakland,CA,2014,11/4/2014,School Director District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_School Director, District 2 - Oakland_Nov 2014.txt"
"2014 School Director, District 4 - Oakland Nov 2014",Oakland,CA,2014,11/4/2014,School Director District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_School Director, District 4 - Oakland_Nov 2014.txt"
"2014 School Director, District 6 - Oakland Nov 2014",Oakland,CA,2014,11/4/2014,School Director District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_School Director, District 6 - Oakland_Nov 2014.txt"
San Francisco Board of Supervisors District 10 2014,San Francisco,CA,2014,11/4/2014,Board of Supervisors District 10,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2014_District 10 Supervisors/D10_BallotImage.txt
2014 Mayor of San Leandro Nov 2014,San Leandro,CA,2014,11/4/2014,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Mayor of San Leandro_Nov 2014.txt"
"2014 Member, City Council, District 1 - San Leandro Nov 2014",San Leandro,CA,2014,11/4/2014,County Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 1 - San Leandro_Nov 2014.txt"
"2014 Member, City Council, District 3 - San Leandro Nov 2014",San Leandro,CA,2014,11/4/2014,County Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 3 - San Leandro_Nov 2014.txt"
"2014 Member, City Council, District 5 - San Leandro Nov 2014",San Leandro,CA,2014,11/4/2014,County Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 5 - San Leandro_Nov 2014.txt"
Cambridge City Council 2015,Cambridge,MA,2015,11/3/2015,City Council,FALSE,FALSE,,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2015/council2015/council2015.chp
Cambridge School Committee 2015,Cambridge,MA,2015,11/3/2015,School Committee,FALSE,FALSE,,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2015/school2015/school2015.chp
San Francisco Board of Supervisors District 3 2015,San Francisco,CA,2015,11/3/2015,Board of Supervisors District 3,TRUE,FALSE,,,,"partial(sf, '0000003')",,rcv_single_winner,1,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt
San Francisco Mayor 2015,San Francisco,CA,2015,11/3/2015,Mayor,TRUE,FALSE,,,,"partial(sf, '0000001')",,rcv_single_winner,1,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt
San Francisco Sheriff 2015,San Francisco,CA,2015,11/3/2015,Sheriff,TRUE,FALSE,,,,"partial(sf, '0000002')",,rcv_single_winner,1,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt
2016 BerkeleyCouncilD2,Berkeley,CA,2016,11/8/2016,City Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD2/ballot_image.txt"
2016 BerkeleyCouncilD3,Berkeley,CA,2016,11/8/2016,City Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD3/ballot_image.txt"
2016 BerkeleyCouncilD5,Berkeley,CA,2016,11/8/2016,City Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD5/ballot_image.txt"
2016 BerkeleyCouncilD6,Berkeley,CA,2016,11/8/2016,City Council District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD6/ballot_image.txt"
2016 BerkeleyMayor,Berkeley,CA,2016,11/8/2016,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyMayor/ballot_image.txt"
2016 OaklandAttorney,Oakland,CA,2016,11/8/2016,City Attorney,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandAttorney/ballot_image.txt"
2016 OaklandCouncilAtLrg,Oakland,CA,2016,11/8/2016,CouncilAtLrg,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilAtLrg/ballot_image.txt"
2016 OaklandCouncilD1,Oakland,CA,2016,11/8/2016,City Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD1/ballot_image.txt"
2016 OaklandCouncilD3,Oakland,CA,2016,11/8/2016,City Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD3/ballot_image.txt"
2016 OaklandCouncilD5,Oakland,CA,2016,11/8/2016,City Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD5/ballot_image.txt"
2016 OaklandCouncilD7,Oakland,CA,2016,11/8/2016,City Council District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD7/ballot_image.txt"
2016 OaklandSchoolD1,Oakland,CA,2016,11/8/2016,School Director District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD1/ballot_image.txt"
2016 OaklandSchoolD3,Oakland,CA,2016,11/8/2016,School Director District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD3/ballot_image.txt"
2016 OaklandSchoolD5,Oakland,CA,2016,11/8/2016,School Director District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD5/ballot_image.txt"
2016 OaklandSchoolD7,Oakland,CA,2016,11/8/2016,School Director District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD7/ballot_image.txt"
San Francisco Board of Supervisors District 1 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 1,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000009')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 11 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 11,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000014')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 3 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 3,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000010')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 5 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 5,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000011')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 7 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 7,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000012')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 9 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 9,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000013')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
2016 SanLeandroCouncilD2,San Leandro,CA,2016,11/8/2016,County Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD2/ballot_image.txt"
2016 SanLeandroCouncilD4,San Leandro,CA,2016,11/8/2016,County Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD4/ballot_image.txt"
2016 SanLeandroCouncilD6,San Leandro,CA,2016,11/8/2016,County Council District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD6/ballot_image.txt"
Cambridge City Council 2017,Cambridge,MA,2017,11/7/2017,City Council,FALSE,FALSE,,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2017/2017/City Council/council 2017 FINAL Order Test.chp
Cambridge School Committee 2017,Cambridge,MA,2017,11/7/2017,School Committee,FALSE,FALSE,,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2017/2017/School Committee/school 2017 FINAL Order Test.chp
2017 BerkCouncilD4,Berkeley,CA,2017,3/7/2017,City Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2017/BerkCouncilD4/ballot_image.txt"
Minneapolis BOE 2017,Minneapolis,MN,2017,11/7/2017,Board of Estimate and Taxation,FALSE,TRUE,TRUE,,,minneapolis,,stv_fractional_ballot,2,Ballot_Images/Minneapolis/2017/csv2017/2017-boe-cvr.xlsx.csv
Minneapolis Mayor 2017,Minneapolis,MN,2017,11/7/2017,Mayor,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-mayor-cvr.xlsx.csv
Minneapolis Park At Large 2017,Minneapolis,MN,2017,11/7/2017,Park Board At Large,FALSE,TRUE,TRUE,,,minneapolis,,stv_fractional_ballot,3,Ballot_Images/Minneapolis/2017/csv2017/2017-park-at-large-cvr.xlsx.csv
Minneapolis Park District 1 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 1,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-1-cvr.xlsx.csv
Minneapolis Park District 2 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 2,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-2-cvr.xlsx.csv
Minneapolis Park District 3 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 3,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-3-cvr.xlsx.csv
Minneapolis Park District 4 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 4,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-4-cvr.xlsx.csv
Minneapolis Park District 5 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 5,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-5-cvr.xlsx.csv
Minneapolis Park District 6 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 6,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-6-cvr.xlsx.csv
Minneapolis Ward 1 2017,Minneapolis,MN,2017,11/7/2017,Ward 1 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-1-cvr.xlsx.csv
Minneapolis Ward 10 2017,Minneapolis,MN,2017,11/7/2017,Ward 10 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-10-cvr.xlsx.csv
Minneapolis Ward 11 2017,Minneapolis,MN,2017,11/7/2017,Ward 11 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-11-cvr.xlsx.csv
Minneapolis Ward 12 2017,Minneapolis,MN,2017,11/7/2017,Ward 12 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-12-cvr.xlsx.csv
Minneapolis Ward 13 2017,Minneapolis,MN,2017,11/7/2017,Ward 13 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-13-cvr.xlsx.csv
Minneapolis Ward 2 2017,Minneapolis,MN,2017,11/7/2017,Ward 2 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-2-cvr.xlsx.csv
Minneapolis Ward 3 2017,Minneapolis,MN,2017,11/7/2017,Ward 3 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-3-cvr.xlsx.csv
Minneapolis Ward 4 2017,Minneapolis,MN,2017,11/7/2017,Ward 4 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-4-cvr.xlsx.csv
Minneapolis Ward 5 2017,Minneapolis,MN,2017,11/7/2017,Ward 5 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-5-cvr.xlsx.csv
Minneapolis Ward 6 2017,Minneapolis,MN,2017,11/7/2017,Ward 6 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-6-cvr.xlsx.csv
Minneapolis Ward 7 2017,Minneapolis,MN,2017,11/7/2017,Ward 7 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-7-cvr.xlsx.csv
Minneapolis Ward 8 2017,Minneapolis,MN,2017,11/7/2017,Ward 8 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-8-cvr.xlsx.csv
Minneapolis Ward 9 2017,Minneapolis,MN,2017,11/7/2017,Ward 9 City Council ,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-9-cvr.xlsx.csv
Berkeley City Auditor 2018,Berkeley,CA,2018,11/6/2018,City Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCityAuditor2018ballot_image.txt"
Berkeley Council D1 2018,Berkeley,CA,2018,11/6/2018,City Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD12018ballot_image.txt"
