condorcet winner: Andy Montroll,Andy Montroll,Bob Kiss,Dan Smith,James Simpson,Kurt Wright,writeIns
Andy Montroll,,4064.00,4570.00,6262.00,4597.00,6657.00
Bob Kiss,3476.00,,3944.00,5514.00,4313.00,6147.00
Dan Smith,2997.00,3576.00,,5570.00,3793.00,6057.00
James Simpson,591.00,843.00,721.00,,1309.00,3337.00
Kurt Wright,3664.00,4060.00,3971.00,5270.00,,6062.00
writeIns,100.00,113.00,113.00,161.00,162.00,
