"condorcet winner: McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
"Fantini, Alfred B.",,4099.00,4575.00,5056.00,5618.00,4515.00,4523.00,4530.00,4896.00,6106.00
"Grassi, Joseph G.",3369.00,,4399.00,4899.00,5447.00,4404.00,4328.00,4446.00,4669.00,5909.00
"Harding, Richard, Jr.",4170.00,4186.00,,5027.00,5650.00,3909.00,3987.00,4231.00,4722.00,6097.00
"Lemily Wiggins, Gail",3450.00,3469.00,3283.00,,4191.00,2863.00,2940.00,3019.00,2896.00,4717.00
"Malner, Stefan",1289.00,1272.00,1222.00,950.00,,1151.00,1197.00,1257.00,970.00,2421.00
"McGovern, Marc C.",5460.00,5528.00,5429.00,5754.00,6434.00,,4995.00,5237.00,5501.00,7040.00
"Nolan, Patricia M.",5024.00,5070.00,4927.00,5436.00,6155.00,4155.00,,4764.00,5276.00,6611.00
"Schuster, Luc",4703.00,4692.00,4399.00,4799.00,5522.00,3817.00,3762.00,,4631.00,6076.00
"Tauber, Nancy",4252.00,4261.00,3969.00,3879.00,4810.00,3253.00,3366.00,3450.00,,5360.00
writeIns,83.00,88.00,79.00,77.00,82.00,67.00,74.00,80.00,78.00,
