"condorcet winner: Simmons, E. Denise","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,55.32,46.03,57.34,86.76,59.90,89.67,55.90,90.95,52.36,83.91,47.58,83.91,43.97,45.54,87.99,89.84,90.62,38.16,55.44,65.81,87.54,54.84,98.60
"Carlone, Dennis J.",44.68,,42.87,57.08,85.84,58.17,89.19,54.83,90.41,47.89,84.15,44.36,80.69,40.33,43.55,86.90,87.60,89.72,38.45,49.14,69.43,87.20,53.63,98.48
"Cheung, Leland",53.97,57.13,,61.45,89.71,64.83,91.90,60.34,92.68,57.95,86.46,54.41,85.91,48.36,52.12,90.11,91.82,92.32,46.17,60.40,68.61,89.58,60.11,98.85
"Connolly, Mike",42.66,42.92,38.55,,85.42,55.30,89.29,49.90,89.60,44.85,83.31,41.97,79.43,35.65,40.77,85.52,85.78,88.16,36.88,46.25,66.96,85.99,49.49,98.37
"Courtney, Kim",13.24,14.16,10.29,14.58,,19.82,62.61,17.23,69.70,14.51,47.50,13.14,45.18,9.87,12.91,55.12,55.90,61.47,9.74,15.62,23.37,53.18,14.52,93.53
"Davidson, Mariko",40.10,41.83,35.17,44.70,80.18,,88.83,47.00,88.34,41.32,80.57,39.45,76.92,29.87,37.20,83.74,84.98,88.21,34.00,44.80,61.93,83.99,45.44,98.25
"Degoes, Jr., Plinio T.",10.33,10.81,8.10,10.71,37.39,11.17,,13.69,58.64,11.67,41.86,10.73,40.47,7.20,10.13,48.41,49.70,55.24,7.93,12.98,17.97,46.98,11.63,92.19
"Devereux, Jan",44.10,45.17,39.66,50.10,82.77,53.00,86.31,,89.81,45.10,83.39,42.76,79.38,37.69,41.86,85.68,86.39,88.85,38.13,47.94,67.03,86.35,50.47,98.38
"Dietrich, Xavier",9.05,9.59,7.32,10.40,30.30,11.66,41.36,10.19,,10.60,39.03,9.14,37.21,6.94,9.17,44.84,46.77,52.02,6.93,11.26,17.30,43.27,10.96,91.51
"Kelley, Craig A.",47.64,52.11,42.05,55.15,85.49,58.68,88.33,54.90,89.40,,84.01,46.82,83.39,43.80,45.33,88.64,90.08,90.68,39.81,54.25,64.70,87.86,55.10,98.56
"Levy, Ilan S.",16.09,15.85,13.54,16.69,52.50,19.43,58.14,16.61,60.97,15.99,,16.20,51.49,11.49,15.58,60.37,61.33,66.53,12.73,18.73,26.79,58.98,18.14,94.43
"Maher, David P.",52.42,55.64,45.59,58.03,86.86,60.55,89.27,57.24,90.86,53.18,83.80,,87.52,46.81,50.92,89.66,91.49,91.92,43.67,60.45,66.85,88.82,56.66,98.70
"Mahoney, Jr., Paul F.",16.09,19.31,14.09,20.57,54.82,23.08,59.53,20.62,62.79,16.61,48.51,12.48,,15.30,15.79,62.66,64.03,68.23,12.95,17.34,29.84,60.13,20.71,94.73
"Mazen, Nadeem A.",56.03,59.67,51.64,64.35,90.13,70.13,92.80,62.31,93.06,56.20,88.51,53.19,84.70,,55.38,91.86,92.19,94.68,49.54,60.09,83.46,92.43,64.95,99.09
"McGovern, Marc C.",54.46,56.45,47.88,59.23,87.09,62.80,89.87,58.14,90.83,54.67,84.42,49.08,84.21,44.62,,90.17,91.58,92.37,46.62,59.66,68.33,89.57,59.36,98.81
"Mello, Gary W.",12.01,13.10,9.89,14.48,44.88,16.26,51.59,14.32,55.16,11.36,39.63,10.34,37.34,8.14,9.83,,57.42,63.24,9.21,14.20,22.84,52.56,14.52,92.80
"Moree, Gregg J.",10.16,12.40,8.18,14.22,44.10,15.02,50.30,13.61,53.23,9.92,38.67,8.51,35.97,7.81,8.42,42.58,,59.84,7.50,12.50,21.70,50.73,13.63,92.17
"Sanzone, John",9.38,10.28,7.68,11.84,38.53,11.79,44.76,11.15,47.98,9.32,33.47,8.08,31.77,5.32,7.63,36.76,40.16,,7.28,11.26,17.36,45.49,11.71,91.34
"Simmons, E. Denise",61.84,61.55,53.83,63.12,90.26,66.00,92.07,61.87,93.07,60.19,87.27,56.33,87.05,50.46,53.38,90.79,92.50,92.72,,66.84,72.21,91.88,63.77,98.98
"Toomey, Jr., Timothy J.",44.56,50.86,39.60,53.75,84.38,55.20,87.02,52.06,88.74,45.75,81.27,39.55,82.66,39.91,40.34,85.80,87.50,88.74,33.16,,62.39,86.77,51.28,98.44
"Waite, Romaine",34.19,30.57,31.39,33.04,76.63,38.07,82.03,32.97,82.70,35.30,73.21,33.15,70.16,16.54,31.67,77.16,78.30,82.64,27.79,37.61,,82.10,37.10,97.69
"Williamson, James M.",12.46,12.80,10.42,14.01,46.82,16.01,53.02,13.65,56.73,12.14,41.02,11.18,39.87,7.57,10.43,47.44,49.27,54.51,8.12,13.23,17.90,,11.51,92.65
"vanBeuzekom, Minka Y.",45.16,46.37,39.89,50.51,85.48,54.56,88.37,49.53,89.04,44.90,81.86,43.34,79.29,35.05,40.64,85.48,86.37,88.29,36.23,48.72,62.90,88.49,,98.39
writeIns,1.40,1.52,1.15,1.63,6.47,1.75,7.81,1.62,8.49,1.44,5.57,1.30,5.27,0.91,1.19,7.20,7.83,8.66,1.02,1.56,2.31,7.35,1.61,
