"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,4928.00,4601.00,4965.00,4497.00,4743.00,4447.00,5157.00,4165.00,3726.00,4890.00,6072.00
"Cisternino, Pia",2870.00,,3277.00,3444.00,2911.00,3316.00,3239.00,3610.00,2943.00,2329.00,3384.00,4496.00
"Cronin, Fran Albin",5197.00,5555.00,,5788.00,5417.00,4821.00,4659.00,5969.00,4084.00,3602.00,5707.00,6712.00
"Crutchfield, Jake W.",3158.00,3308.00,3308.00,,3338.00,3526.00,3302.00,3771.00,3199.00,2801.00,3584.00,4633.00
"Dexter, Emily R.",4128.00,4426.00,4114.00,4464.00,,4505.00,4338.00,4894.00,3918.00,3307.00,4668.00,5697.00
"Fantini, Alfred B.",5843.00,6195.00,5335.00,6221.00,5989.00,,5195.00,6509.00,5193.00,4820.00,6310.00,7159.00
"Harding, Jr., Richard",5939.00,6441.00,5614.00,6412.00,6178.00,5131.00,,6773.00,5328.00,4886.00,6530.00,7504.00
"Kadete, Elechi M.",2044.00,2374.00,2296.00,2305.00,2137.00,2312.00,2026.00,,2197.00,1960.00,2581.00,3477.00
"Kelly, Kathleen M.",6402.00,6817.00,6016.00,6856.00,6370.00,5758.00,5601.00,7141.00,,4919.00,7057.00,7974.00
"Nolan, Patricia M.",7928.00,8417.00,7601.00,8309.00,7798.00,7481.00,7400.00,8653.00,6786.00,,8597.00,9446.00
"Weinstein, David J.",2987.00,3156.00,2890.00,3202.00,2938.00,3031.00,2821.00,3384.00,2654.00,2289.00,,4334.00
writeIns,106.00,110.00,111.00,114.00,109.00,100.00,102.00,114.00,105.00,101.00,116.00,
