"condorcet winner: Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
"Fantini, Alfred B.",,51.19,48.97,50.02,49.26,47.83,51.69,43.51,98.36
"Grassi, Joseph G.",48.81,,50.03,50.40,50.37,47.30,51.59,43.90,98.30
"Harding, Richard, Jr.",51.03,49.97,,52.32,50.73,47.76,52.46,45.47,98.53
"Lummis, Ben",49.98,49.60,47.68,,50.36,47.32,52.46,44.23,98.40
"McGovern, Marc C.",50.74,49.63,49.27,49.64,,48.18,53.32,45.66,98.38
"Nolan, Patricia M.",52.17,52.70,52.24,52.68,51.82,,60.02,48.58,98.48
"Schuster, Luc",48.31,48.41,47.54,47.54,46.68,39.98,,44.07,98.36
"Walser, Nancy",56.49,56.10,54.53,55.77,54.34,51.42,55.93,,98.56
writeIns,1.64,1.70,1.47,1.60,1.62,1.52,1.64,1.44,
