"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,63.20,46.96,61.12,52.14,44.80,42.82,71.62,39.42,31.97,62.08,98.28
"Cisternino, Pia",36.80,,37.10,51.01,39.68,34.86,33.46,60.33,30.15,21.67,51.74,97.61
"Cronin, Fran Albin",53.04,62.90,,63.63,56.84,47.47,45.35,72.22,40.44,32.15,66.38,98.37
"Crutchfield, Jake W.",38.88,48.99,36.37,,42.78,36.18,33.99,62.06,31.82,25.21,52.81,97.60
"Dexter, Emily R.",47.86,60.32,43.16,57.22,,42.93,41.25,69.61,38.08,29.78,61.37,98.12
"Fantini, Alfred B.",55.20,65.14,52.53,63.82,57.07,,50.31,73.79,47.42,39.18,67.55,98.62
"Harding, Jr., Richard",57.18,66.54,54.65,66.01,58.75,49.69,,76.97,48.75,39.77,69.83,98.66
"Kadete, Elechi M.",28.38,39.67,27.78,37.94,30.39,26.21,23.03,,23.53,18.47,43.27,96.83
"Kelly, Kathleen M.",60.58,69.85,59.56,68.18,61.92,52.58,51.25,76.47,,42.02,72.67,98.70
"Nolan, Patricia M.",68.03,78.33,67.85,74.79,70.22,60.82,60.23,81.53,57.98,,78.97,98.94
"Weinstein, David J.",37.92,48.26,33.62,47.19,38.63,32.45,30.17,56.73,27.33,21.03,,97.39
writeIns,1.72,2.39,1.63,2.40,1.88,1.38,1.34,3.17,1.30,1.06,2.61,
