candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer
"Mitros, Piotr Flawiusz",2.469,511.0,17.0,2.551,528.0,1.0,2.563,529.0,-529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",13.179,2728.0,39.0,13.368,2767.0,1.0,13.411,2768.0,19.0,13.542,2787.0,43.0,13.853,2830.0,6.0,13.882,2836.0,69.0,14.386,2905.0,94.0,15.063,2999.0,-41.0,14.857,2958.0,0.0,15.405,2958.0,0.0,16.323,2958.0,
writeIns,0.377,78.0,0.0,0.377,78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"MacArthur, William",3.841,795.0,17.0,3.923,812.0,0.0,3.934,812.0,58.0,4.227,870.0,-870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelly, Kathleen M.",9.083,1880.0,83.0,9.484,1963.0,1.0,9.516,1964.0,28.0,9.679,1992.0,68.0,10.084,2060.0,17.0,10.167,2077.0,98.0,10.771,2175.0,93.0,11.391,2268.0,79.0,11.788,2347.0,256.0,13.556,2603.0,748.0,18.491,3351.0,
"Kimbrough, Laurance V.",8.962,1855.0,17.0,9.044,1872.0,1.0,9.075,1873.0,34.0,9.266,1907.0,105.0,9.849,2012.0,14.0,9.917,2026.0,61.0,10.335,2087.0,148.0,11.226,2235.0,31.0,11.381,2266.0,220.0,12.947,2486.0,453.0,16.218,2939.0,
"Dexter, Emily R.",11.479,2376.0,97.0,11.947,2473.0,4.0,12.001,2477.0,89.0,12.468,2566.0,141.0,13.251,2707.0,37.0,13.432,2744.0,186.0,14.51,2930.0,176.0,15.6,3106.0,-148.0,14.857,2958.0,0.0,15.405,2958.0,0.0,16.323,2958.0,
"Cronin, Fran A.",7.59,1571.0,54.0,7.851,1625.0,3.0,7.888,1628.0,46.0,8.134,1674.0,67.0,8.522,1741.0,7.0,8.556,1748.0,141.0,9.355,1889.0,101.0,9.995,1990.0,38.0,10.186,2028.0,253.0,11.879,2281.0,-2281.0,0.0,0.0,
"Weinstein, David J.",3.85,797.0,28.0,3.986,825.0,1.0,4.002,826.0,52.0,4.266,878.0,59.0,4.587,937.0,1.0,4.592,938.0,-938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Crutchfield, Jake W.",5.015,1038.0,21.0,5.116,1059.0,1.0,5.136,1060.0,34.0,5.316,1094.0,88.0,5.786,1182.0,2.0,5.796,1184.0,87.0,6.294,1271.0,125.0,7.012,1396.0,41.0,7.217,1437.0,-1437.0,0.0,0.0,0.0,0.0,0.0,
"Nolan, Patricia M.",16.701,3457.0,-499.0,14.291,2958.0,0.0,14.331,2958.0,0.0,14.372,2958.0,0.0,14.479,2958.0,0.0,14.479,2958.0,0.0,14.649,2958.0,0.0,14.857,2958.0,0.0,14.857,2958.0,0.0,15.405,2958.0,0.0,16.323,2958.0,
"Bowman, Manikka L.",13.373,2768.0,108.0,13.894,2876.0,5.0,13.958,2881.0,68.0,14.329,2949.0,98.0,14.915,3047.0,-89.0,14.479,2958.0,0.0,14.649,2958.0,0.0,14.857,2958.0,0.0,14.857,2958.0,0.0,15.405,2958.0,0.0,16.323,2958.0,
"Kadete, Elechi M.",4.082,845.0,18.0,4.169,863.0,1.0,4.186,864.0,42.0,4.402,906.0,49.0,4.675,955.0,5.0,4.699,960.0,60.0,5.051,1020.0,-1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,30.0,0.0,0.0,30.0,59.0,0.0,89.0,59.0,0.0,148.0,152.0,0.0,300.0,0.0,0.0,300.0,236.0,0.0,536.0,283.0,0.0,819.0,0.0,0.0,819.0,708.0,0.0,1527.0,1080.0,0.0,2607.0,
colsum,100.00099999999999,20729.0,0.0,100.00099999999999,20729.0,0.0,100.001,20729.0,0.0,100.00099999999999,20729.0,0.0,100.00099999999999,20729.0,0.0,99.999,20729.0,0.0,100.0,20729.0,0.0,100.00099999999999,20729.0,0.0,100.0,20729.0,0.0,100.00200000000001,20729.0,0.0,100.001,20729.0,
