candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer
"House, Janneke Ann",2.307,409.0,19.0,2.414,428.0,0.0,2.415,428.0,0.0,2.417,428.0,0.0,2.418,428.0,2.0,2.43,430.0,2.0,2.443,432.0,1.0,2.45,433.0,3.0,2.468,436.0,2.0,2.481,438.0,8.0,2.532,446.0,4.0,2.568,450.0,-450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.085,15.0,0.0,0.085,15.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",6.165,1093.0,75.0,6.588,1168.0,0.0,6.591,1168.0,1.0,6.601,1169.0,3.0,6.621,1172.0,1.0,6.63,1173.0,2.0,6.646,1175.0,1.0,6.655,1176.0,4.0,6.679,1180.0,13.0,6.758,1193.0,10.0,6.829,1203.0,6.0,6.9,1209.0,34.0,7.106,1243.0,38.0,7.343,1281.0,43.0,7.677,1324.0,44.0,7.966,1368.0,102.0,8.622,1470.0,7.0,8.663,1477.0,58.0,9.11,1535.0,47.0,9.389,1582.0,12.0,9.461,1594.0,338.0,11.778,1932.0,
"Leslie, Logan Edward",2.843,504.0,10.0,2.899,514.0,1.0,2.906,515.0,1.0,2.914,516.0,2.0,2.927,518.0,1.0,2.933,519.0,0.0,2.935,519.0,6.0,2.971,525.0,1.0,2.977,526.0,11.0,3.042,537.0,5.0,3.077,542.0,2.0,3.104,544.0,12.0,3.179,556.0,13.0,3.261,569.0,-569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, E. Denise",6.672,1183.0,49.0,6.949,1232.0,0.0,6.953,1232.0,2.0,6.968,1234.0,4.0,6.994,1238.0,6.0,7.031,1244.0,13.0,7.109,1257.0,7.0,7.153,1264.0,6.0,7.189,1270.0,0.0,7.194,1270.0,20.0,7.322,1290.0,13.0,7.436,1303.0,25.0,7.592,1328.0,47.0,7.881,1375.0,16.0,8.065,1391.0,63.0,8.467,1454.0,76.0,8.974,1530.0,7.0,9.015,1537.0,469.0,11.906,2006.0,-232.0,10.529,1774.0,0.0,10.529,1774.0,0.0,10.814,1774.0,
"Mazen, Nadeem A.",5.556,985.0,36.0,5.759,1021.0,0.0,5.762,1021.0,3.0,5.782,1024.0,2.0,5.797,1026.0,8.0,5.844,1034.0,5.0,5.876,1039.0,12.0,5.948,1051.0,15.0,6.034,1066.0,8.0,6.084,1074.0,21.0,6.216,1095.0,103.0,6.837,1198.0,66.0,7.226,1264.0,43.0,7.492,1307.0,35.0,7.781,1342.0,90.0,8.339,1432.0,61.0,8.757,1493.0,0.0,8.757,1493.0,37.0,9.081,1530.0,24.0,9.223,1554.0,5.0,9.253,1559.0,246.0,11.003,1805.0,
"Reeves, Kenneth E.",5.262,933.0,37.0,5.471,970.0,0.0,5.474,970.0,2.0,5.489,972.0,6.0,5.525,978.0,5.0,5.556,983.0,8.0,5.605,991.0,9.0,5.659,1000.0,5.0,5.689,1005.0,4.0,5.715,1009.0,18.0,5.83,1027.0,12.0,5.929,1039.0,10.0,5.997,1049.0,22.0,6.139,1071.0,19.0,6.32,1090.0,26.0,6.499,1116.0,38.0,6.769,1154.0,11.0,6.833,1165.0,-1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"vanBeuzekom, Minka Y.",4.918,872.0,64.0,5.279,936.0,1.0,5.288,937.0,0.0,5.291,937.0,2.0,5.305,939.0,3.0,5.324,942.0,6.0,5.362,948.0,9.0,5.416,957.0,11.0,5.479,968.0,11.0,5.545,979.0,22.0,5.682,1001.0,17.0,5.81,1018.0,57.0,6.146,1075.0,76.0,6.598,1151.0,27.0,6.83,1178.0,85.0,7.355,1263.0,138.0,8.217,1401.0,2.0,8.229,1403.0,69.0,8.736,1472.0,67.0,9.134,1539.0,9.0,9.187,1548.0,-1548.0,0.0,0.0,
"Maher, David P.",8.252,1463.0,68.0,8.635,1531.0,0.0,8.64,1531.0,2.0,8.657,1533.0,0.0,8.661,1533.0,1.0,8.67,1534.0,3.0,8.693,1537.0,7.0,8.738,1544.0,5.0,8.768,1549.0,5.0,8.803,1554.0,16.0,8.912,1570.0,11.0,9.022,1581.0,20.0,9.153,1601.0,26.0,9.326,1627.0,68.0,9.828,1695.0,44.0,10.126,1739.0,94.0,10.751,1833.0,-59.0,10.405,1774.0,0.0,10.529,1774.0,0.0,10.529,1774.0,0.0,10.529,1774.0,0.0,10.814,1774.0,
"Mello, Gary W.",0.603,107.0,4.0,0.626,111.0,0.0,0.626,111.0,1.0,0.632,112.0,0.0,0.633,112.0,8.0,0.678,120.0,1.0,0.684,121.0,1.0,0.69,122.0,1.0,0.696,123.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
