candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer
writeIns,0.152,24.0,0.0,0.152,24.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",6.931,1097.0,79.0,7.43,1176.0,1.0,7.443,1177.0,3.0,7.471,1180.0,6.0,7.514,1186.0,8.0,7.581,1194.0,10.0,7.656,1204.0,2.0,7.668,1206.0,53.0,8.037,1259.0,139.0,9.007,1398.0,45.0,9.373,1443.0,154.0,10.51,1597.0,-14.0,10.418,1583.0,0.0,10.738,1583.0,
"Simmons, E. Denise",7.973,1262.0,63.0,8.371,1325.0,0.0,8.379,1325.0,5.0,8.421,1330.0,5.0,8.458,1335.0,9.0,8.533,1344.0,17.0,8.654,1361.0,1.0,8.66,1362.0,24.0,8.847,1386.0,24.0,9.084,1410.0,70.0,9.613,1480.0,170.0,10.859,1650.0,-67.0,10.418,1583.0,0.0,10.738,1583.0,
"Reeves, Kenneth E.",6.387,1011.0,54.0,6.729,1065.0,1.0,6.741,1066.0,4.0,6.775,1070.0,4.0,6.805,1074.0,13.0,6.902,1087.0,9.0,6.969,1096.0,0.0,6.969,1096.0,18.0,7.111,1114.0,23.0,7.326,1137.0,56.0,7.749,1193.0,90.0,8.444,1283.0,30.0,8.641,1313.0,282.0,10.819,1595.0,
"vanBeuzekom, Minka Y.",6.558,1038.0,60.0,6.937,1098.0,1.0,6.95,1099.0,5.0,6.99,1104.0,2.0,7.008,1106.0,17.0,7.13,1123.0,30.0,7.331,1153.0,1.0,7.338,1154.0,95.0,7.973,1249.0,65.0,8.466,1314.0,97.0,9.165,1411.0,150.0,10.273,1561.0,18.0,10.392,1579.0,251.0,12.414,1830.0,
"Maher, David P.",10.646,1685.0,-102.0,10.001,1583.0,0.0,10.011,1583.0,0.0,10.023,1583.0,0.0,10.03,1583.0,0.0,10.051,1583.0,0.0,10.065,1583.0,0.0,10.065,1583.0,0.0,10.105,1583.0,0.0,10.199,1583.0,0.0,10.282,1583.0,0.0,10.418,1583.0,0.0,10.418,1583.0,0.0,10.738,1583.0,
"Mello, Gary W.",0.853,135.0,9.0,0.91,144.0,0.0,0.911,144.0,6.0,0.95,150.0,6.0,0.988,156.0,-156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Marquardt, Charles J.",3.153,499.0,28.0,3.33,527.0,1.0,3.339,528.0,4.0,3.368,532.0,3.0,3.39,535.0,16.0,3.498,551.0,8.0,3.554,559.0,0.0,3.554,559.0,26.0,3.734,585.0,-585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",9.066,1435.0,123.0,9.843,1558.0,1.0,9.859,1559.0,2.0,9.884,1561.0,2.0,9.903,1563.0,6.0,9.962,1569.0,19.0,10.097,1588.0,-5.0,10.065,1583.0,0.0,10.105,1583.0,0.0,10.199,1583.0,0.0,10.282,1583.0,0.0,10.418,1583.0,0.0,10.418,1583.0,0.0,10.738,1583.0,
"Nelson, Matthew P.",3.424,542.0,22.0,3.563,564.0,1.0,3.573,565.0,5.0,3.609,570.0,4.0,3.637,574.0,11.0,3.714,585.0,11.0,3.79,596.0,0.0,3.79,596.0,17.0,3.913,613.0,64.0,4.362,677.0,-677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Cheung, Leland",12.737,2016.0,-433.0,10.001,1583.0,0.0,10.011,1583.0,0.0,10.023,1583.0,0.0,10.03,1583.0,0.0,10.051,1583.0,0.0,10.065,1583.0,0.0,10.065,1583.0,0.0,10.105,1583.0,0.0,10.199,1583.0,0.0,10.282,1583.0,0.0,10.418,1583.0,0.0,10.418,1583.0,0.0,10.738,1583.0,
"Toomey, Jr., Timothy J.",10.747,1701.0,-118.0,10.001,1583.0,0.0,10.011,1583.0,0.0,10.023,1583.0,0.0,10.03,1583.0,0.0,10.051,1583.0,0.0,10.065,1583.0,0.0,10.065,1583.0,0.0,10.105,1583.0,0.0,10.199,1583.0,0.0,10.282,1583.0,0.0,10.418,1583.0,0.0,10.418,1583.0,0.0,10.738,1583.0,
"Pascual, Jamake",0.398,63.0,3.0,0.417,66.0,0.0,0.417,66.0,1.0,0.424,67.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Stohlman, Jr., Thomas J.",2.173,344.0,23.0,2.319,367.0,1.0,2.327,368.0,3.0,2.349,371.0,10.0,2.414,381.0,12.0,2.495,393.0,20.0,2.626,413.0,0.0,2.626,413.0,-413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Williamson, James M.",1.106,175.0,3.0,1.125,178.0,1.0,1.132,179.0,2.0,1.146,181.0,6.0,1.185,187.0,7.0,1.232,194.0,-194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",4.979,788.0,59.0,5.351,847.0,0.0,5.356,847.0,3.0,5.382,850.0,1.0,5.392,851.0,2.0,5.416,853.0,11.0,5.494,864.0,0.0,5.494,864.0,53.0,5.853,917.0,37.0,6.147,954.0,84.0,6.742,1038.0,-1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Ward, Larry W.",5.275,835.0,38.0,5.516,873.0,0.0,5.521,873.0,1.0,5.534,874.0,5.0,5.569,879.0,13.0,5.663,892.0,25.0,5.831,917.0,0.0,5.831,917.0,26.0,6.019,943.0,53.0,6.417,996.0,122.0,7.262,1118.0,98.0,8.003,1216.0,15.0,8.101,1231.0,-1231.0,0.0,0.0,
"Decker, Marjorie C.",7.089,1122.0,80.0,7.594,1202.0,1.0,7.608,1203.0,2.0,7.629,1205.0,2.0,7.647,1207.0,9.0,7.721,1216.0,11.0,7.802,1227.0,1.0,7.808,1228.0,40.0,8.094,1268.0,35.0,8.395,1303.0,78.0,8.97,1381.0,175.0,10.24,1556.0,18.0,10.359,1574.0,245.0,12.339,1819.0,
"Moree, Gregg J.",0.354,56.0,9.0,0.411,65.0,0.0,0.411,65.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,61.0,0.0,0.0,61.0,15.0,0.0,76.0,19.0,0.0,95.0,11.0,0.0,106.0,33.0,0.0,139.0,23.0,0.0,162.0,0.0,0.0,162.0,61.0,0.0,223.0,145.0,0.0,368.0,125.0,0.0,493.0,201.0,0.0,694.0,0.0,0.0,694.0,453.0,0.0,1147.0,
colsum,100.001,15889.0,0.0,100.001,15889.0,0.0,100.0,15889.0,0.0,100.00100000000003,15889.0,0.0,100.0,15889.0,0.0,100.0,15889.0,0.0,99.999,15889.0,0.0,99.99800000000002,15889.0,0.0,100.001,15889.0,0.0,100.0,15889.0,0.0,100.00199999999998,15889.0,0.0,100.001,15889.0,0.0,100.00099999999999,15889.0,0.0,100.0,15889.0,
