candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
"Connolly, Mike",4.716,841.0,7.0,4.755,848.0,3.0,4.776,851.0,2.0,4.788,853.0,2.0,4.8,855.0,5.0,4.83,860.0,5.0,4.86,865.0,1.0,4.87,866.0,3.0,4.89,869.0,6.0,4.93,875.0,32.0,5.114,907.0,13.0,5.198,920.0,33.0,5.393,953.0,0.0,5.393,953.0,-953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",7.935,1415.0,2.0,7.946,1417.0,0.0,7.952,1417.0,1.0,7.959,1418.0,4.0,7.982,1422.0,0.0,7.987,1422.0,0.0,7.99,1422.0,4.0,8.018,1426.0,2.0,8.036,1428.0,5.0,8.074,1433.0,17.0,8.175,1450.0,64.0,8.554,1514.0,6.0,8.602,1520.0,2.0,8.613,1522.0,38.0,8.853,1560.0,41.0,9.184,1601.0,1.0,9.189,1602.0,231.0,10.706,1833.0,-49.0,10.42,1784.0,0.0,10.663,1784.0,
"Dietrich, Xavier",0.146,26.0,0.0,0.146,26.0,0.0,0.146,26.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Devereux, Jan",7.324,1306.0,9.0,7.374,1315.0,1.0,7.385,1316.0,0.0,7.386,1316.0,1.0,7.393,1317.0,7.0,7.436,1324.0,2.0,7.45,1326.0,1.0,7.462,1327.0,15.0,7.552,1342.0,5.0,7.589,1347.0,16.0,7.685,1363.0,13.0,7.774,1376.0,29.0,7.951,1405.0,0.0,7.951,1405.0,189.0,9.046,1594.0,184.0,10.199,1778.0,0.0,10.199,1778.0,33.0,10.578,1811.0,-27.0,10.42,1784.0,0.0,10.663,1784.0,
"McGovern, Marc C.",6.74,1202.0,10.0,6.796,1212.0,1.0,6.807,1213.0,1.0,6.814,1214.0,0.0,6.815,1214.0,0.0,6.818,1214.0,5.0,6.849,1219.0,5.0,6.883,1224.0,1.0,6.894,1225.0,4.0,6.924,1229.0,3.0,6.946,1232.0,18.0,7.063,1250.0,18.0,7.176,1268.0,4.0,7.198,1272.0,56.0,7.536,1328.0,78.0,8.065,1406.0,2.0,8.077,1408.0,250.0,9.684,1658.0,25.0,9.83,1683.0,207.0,11.297,1890.0,
"Mahoney, Jr., Paul F.",1.408,251.0,1.0,1.413,252.0,2.0,1.425,254.0,0.0,1.426,254.0,0.0,1.426,254.0,1.0,1.432,255.0,0.0,1.433,255.0,3.0,1.451,258.0,2.0,1.463,260.0,10.0,1.521,270.0,5.0,1.551,275.0,-275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Williamson, James M.",0.404,72.0,1.0,0.409,73.0,0.0,0.41,73.0,0.0,0.41,73.0,0.0,0.41,73.0,2.0,0.421,75.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Carlone, Dennis J.",5.596,998.0,16.0,5.686,1014.0,0.0,5.691,1014.0,0.0,5.691,1014.0,0.0,5.692,1014.0,2.0,5.706,1016.0,3.0,5.725,1019.0,0.0,5.73,1019.0,4.0,5.757,1023.0,11.0,5.826,1034.0,10.0,5.886,1044.0,2.0,5.91,1046.0,17.0,6.016,1063.0,0.0,6.016,1063.0,260.0,7.508,1323.0,142.0,8.404,1465.0,1.0,8.409,1466.0,129.0,9.316,1595.0,17.0,9.415,1612.0,309.0,11.482,1921.0,
"Benzan, Dennis A.",6.494,1158.0,5.0,6.522,1163.0,0.0,6.527,1163.0,1.0,6.533,1164.0,0.0,6.534,1164.0,2.0,6.549,1166.0,8.0,6.596,1174.0,6.0,6.635,1180.0,3.0,6.657,1183.0,5.0,6.693,1188.0,4.0,6.721,1192.0,16.0,6.825,1208.0,28.0,6.995,1236.0,3.0,7.011,1239.0,44.0,7.281,1283.0,64.0,7.727,1347.0,0.0,7.727,1347.0,-1347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sanzone, John",0.179,32.0,1.0,0.185,33.0,0.0,0.185,33.0,0.0,0.185,33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Courtney, Kim",0.404,72.0,0.0,0.404,72.0,1.0,0.41,73.0,11.0,0.471,84.0,0.0,0.472,84.0,0.0,0.472,84.0,0.0,0.472,84.0,0.0,0.472,84.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Degoes, Jr., Plinio T.",0.286,51.0,1.0,0.292,52.0,0.0,0.292,52.0,0.0,0.292,52.0,0.0,0.292,52.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davidson, Mariko",4.783,853.0,37.0,4.991,890.0,0.0,4.995,890.0,2.0,5.006,892.0,4.0,5.03,896.0,6.0,5.066,902.0,1.0,5.074,903.0,3.0,5.094,906.0,9.0,5.149,915.0,7.0,5.195,922.0,25.0,5.339,947.0,2.0,5.362,949.0,72.0,5.778,1021.0,1.0,5.783,1022.0,121.0,6.487,1143.0,-1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Moree, Gregg J.",0.432,77.0,1.0,0.437,78.0,0.0,0.438,78.0,0.0,0.438,78.0,2.0,0.449,80.0,1.0,0.455,81.0,1.0,0.461,82.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,69.0,0.0,0.0,69.0,14.0,0.0,83.0,2.0,0.0,85.0,3.0,0.0,88.0,9.0,0.0,97.0,7.0,0.0,104.0,14.0,0.0,118.0,14.0,0.0,132.0,21.0,0.0,153.0,13.0,0.0,166.0,37.0,0.0,203.0,28.0,0.0,231.0,0.0,0.0,231.0,50.0,0.0,281.0,188.0,0.0,469.0,0.0,0.0,469.0,312.0,0.0,781.0,0.0,0.0,781.0,391.0,0.0,1172.0,
colsum,100.002,17902.0,0.0,100.00000000000001,17902.0,0.0,100.00100000000002,17902.0,0.0,100.00000000000001,17902.0,0.0,100.00099999999999,17902.0,0.0,100.001,17902.0,0.0,100.0,17902.0,0.0,99.99899999999998,17902.0,0.0,99.998,17902.0,0.0,100.001,17902.0,0.0,99.999,17902.0,0.0,100.0,17902.0,0.0,100.00200000000001,17902.0,0.0,99.999,17902.0,0.0,99.999,17902.0,0.0,100.0,17902.0,0.0,99.99900000000001,17902.0,0.0,100.0,17902.0,0.0,100.0,17902.0,0.0,99.99699999999999,17902.0,
