candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer
"Schuster, Luc",11.92,1842.0,64.0,12.334,1906.0,1.0,12.372,1907.0,247.0,14.198,2154.0,44.0,14.488,2198.0,0.0,14.489,2198.0,765.0,21.16,2963.0,
"Fantini, Alfred B.",14.741,2278.0,-70.0,14.288,2208.0,0.0,14.325,2208.0,0.0,14.554,2208.0,0.0,14.554,2208.0,0.0,14.555,2208.0,0.0,15.768,2208.0,
writeIns,0.356,55.0,0.0,0.356,55.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Harding, Richard, Jr.",12.807,1979.0,17.0,12.917,1996.0,6.0,12.988,2002.0,215.0,14.613,2217.0,-9.0,14.554,2208.0,0.0,14.555,2208.0,0.0,15.768,2208.0,
"Walser, Nancy",12.949,2001.0,52.0,13.285,2053.0,6.0,13.358,2059.0,364.0,15.971,2423.0,-215.0,14.554,2208.0,0.0,14.555,2208.0,0.0,15.768,2208.0,
"McGovern, Marc C.",9.131,1411.0,32.0,9.338,1443.0,2.0,9.375,1445.0,-1445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Lummis, Ben",9.785,1512.0,23.0,9.933,1535.0,0.0,9.958,1535.0,275.0,11.931,1810.0,122.0,12.735,1932.0,0.0,12.736,1932.0,-1932.0,0.0,0.0,
"Nolan, Patricia M.",15.434,2385.0,-177.0,14.288,2208.0,0.0,14.325,2208.0,0.0,14.554,2208.0,0.0,14.554,2208.0,0.0,14.555,2208.0,0.0,15.768,2208.0,
"Grassi, Joseph G.",12.878,1990.0,59.0,13.26,2049.0,1.0,13.3,2050.0,101.0,14.178,2151.0,58.0,14.561,2209.0,-1.0,14.555,2208.0,0.0,15.768,2208.0,
exhaust,0.0,60.0,0.0,0.0,60.0,39.0,0.0,99.0,243.0,0.0,342.0,0.0,0.0,342.0,1.0,0.0,343.0,1167.0,0.0,1510.0,
colsum,100.001,15513.0,0.0,99.99900000000001,15513.0,0.0,100.001,15513.0,0.0,99.999,15513.0,0.0,100.0,15513.0,0.0,100.0,15513.0,0.0,100.0,15513.0,
