candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
"Cronin, Fran Albin",8.439,1417.0,127.0,9.195,1544.0,4.0,9.242,1548.0,33.0,9.481,1581.0,100.0,10.158,1681.0,80.0,10.777,1761.0,1.0,10.783,1762.0,125.0,12.026,1887.0,6.0,12.064,1893.0,-1893.0,0.0,0.0,
"Harding, Jr., Richard",11.84,1988.0,195.0,13.001,2183.0,4.0,13.057,2187.0,77.0,13.577,2264.0,59.0,14.038,2323.0,98.0,14.816,2421.0,-22.0,14.682,2399.0,0.0,15.289,2399.0,0.0,15.289,2399.0,0.0,16.423,2399.0,
"Fantini, Alfred B.",16.205,2721.0,-322.0,14.287,2399.0,0.0,14.322,2399.0,0.0,14.387,2399.0,0.0,14.497,2399.0,0.0,14.682,2399.0,0.0,14.682,2399.0,0.0,15.289,2399.0,0.0,15.289,2399.0,0.0,16.423,2399.0,
writeIns,0.369,62.0,2.0,0.381,64.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Cisternino, Pia",3.907,656.0,86.0,4.419,742.0,1.0,4.436,743.0,30.0,4.636,773.0,-773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelly, Kathleen M.",10.184,1710.0,229.0,11.548,1939.0,6.0,11.612,1945.0,49.0,11.958,1994.0,85.0,12.563,2079.0,104.0,13.36,2183.0,9.0,13.415,2192.0,222.0,15.385,2414.0,-15.0,15.289,2399.0,0.0,16.423,2399.0,
"Dexter, Emily R.",8.35,1402.0,100.0,8.945,1502.0,3.0,8.985,1505.0,41.0,9.271,1546.0,122.0,10.08,1668.0,91.0,10.765,1759.0,3.0,10.783,1762.0,267.0,12.931,2029.0,5.0,12.963,2034.0,397.0,16.642,2431.0,
"Weinstein, David J.",4.139,695.0,55.0,4.467,750.0,1.0,4.484,751.0,40.0,4.744,791.0,55.0,5.112,846.0,-846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Crutchfield, Jake W.",7.272,1221.0,42.0,7.522,1263.0,1.0,7.546,1264.0,45.0,7.85,1309.0,104.0,8.539,1413.0,99.0,9.253,1512.0,6.0,9.29,1518.0,-1518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Nolan, Patricia M.",17.896,3005.0,-606.0,14.287,2399.0,0.0,14.322,2399.0,0.0,14.387,2399.0,0.0,14.497,2399.0,0.0,14.682,2399.0,0.0,14.682,2399.0,0.0,15.289,2399.0,0.0,15.289,2399.0,0.0,16.423,2399.0,
"Bowman, Manikka L.",8.862,1488.0,75.0,9.309,1563.0,2.0,9.343,1565.0,54.0,9.709,1619.0,121.0,10.515,1740.0,166.0,11.665,1906.0,3.0,11.683,1909.0,255.0,13.791,2164.0,4.0,13.817,2168.0,413.0,17.668,2581.0,
"Kadete, Elechi M.",2.537,426.0,17.0,2.638,443.0,1.0,2.651,444.0,-444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,49.0,0.0,0.0,49.0,41.0,0.0,90.0,75.0,0.0,165.0,127.0,0.0,292.0,208.0,0.0,500.0,0.0,0.0,500.0,649.0,0.0,1149.0,0.0,0.0,1149.0,1083.0,0.0,2232.0,
colsum,100.0,16840.0,0.0,99.99900000000001,16840.0,0.0,100.0,16840.0,0.0,100.0,16840.0,0.0,99.999,16840.0,0.0,100.0,16840.0,0.0,100.0,16840.0,0.0,100.0,16840.0,0.0,100.0,16840.0,0.0,100.00199999999998,16840.0,
