candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer
"Grassi, Joseph G.",12.256,1625.0,106.0,13.055,1731.0,3.0,13.101,1734.0,7.0,13.18,1741.0,87.0,14.038,1828.0,46.0,14.391,1874.0,605.0,20.338,2479.0,
"Fantini, Alfred B.",15.182,2013.0,-118.0,14.292,1895.0,0.0,14.317,1895.0,0.0,14.346,1895.0,0.0,14.552,1895.0,0.0,14.552,1895.0,0.0,15.547,1895.0,
writeIns,0.272,36.0,1.0,0.279,37.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Harding, Richard, Jr.",11.773,1561.0,65.0,12.263,1626.0,2.0,12.3,1628.0,11.0,12.408,1639.0,68.0,13.109,1707.0,60.0,13.569,1767.0,-1767.0,0.0,0.0,
"Lemily Wiggins, Gail",7.723,1024.0,30.0,7.949,1054.0,1.0,7.971,1055.0,32.0,8.229,1087.0,-1087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Malner, Stefan",1.003,133.0,13.0,1.101,146.0,1.0,1.111,147.0,-147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"McGovern, Marc C.",17.158,2275.0,-380.0,14.292,1895.0,0.0,14.317,1895.0,0.0,14.346,1895.0,0.0,14.552,1895.0,0.0,14.552,1895.0,0.0,15.547,1895.0,
"Tauber, Nancy",9.39,1245.0,49.0,9.759,1294.0,3.0,9.799,1297.0,31.0,10.054,1328.0,395.0,13.231,1723.0,78.0,13.83,1801.0,329.0,17.475,2130.0,
"Nolan, Patricia M.",12.61,1672.0,150.0,13.742,1822.0,3.0,13.788,1825.0,24.0,13.998,1849.0,182.0,15.597,2031.0,-136.0,14.552,1895.0,0.0,15.547,1895.0,
"Schuster, Luc",12.633,1675.0,84.0,13.266,1759.0,1.0,13.297,1760.0,15.0,13.438,1775.0,168.0,14.921,1943.0,-48.0,14.552,1895.0,0.0,15.547,1895.0,
exhaust,0.0,45.0,0.0,0.0,45.0,23.0,0.0,68.0,27.0,0.0,95.0,187.0,0.0,282.0,0.0,0.0,282.0,833.0,0.0,1115.0,
colsum,100.0,13304.0,0.0,99.99800000000002,13304.0,0.0,100.00099999999999,13304.0,0.0,99.99900000000001,13304.0,0.0,100.0,13304.0,0.0,99.99799999999999,13304.0,0.0,100.001,13304.0,
