candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
writeIns,0.08,17.0,0.0,0.08,17.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kopon, Derek Andrew",2.315,491.0,2.0,2.324,493.0,0.0,2.325,493.0,3.0,2.34,496.0,2.0,2.35,498.0,11.0,2.403,509.0,4.0,2.423,513.0,5.0,2.449,518.0,0.0,2.449,518.0,26.0,2.574,544.0,13.0,2.64,557.0,-557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",6.705,1422.0,11.0,6.757,1433.0,0.0,6.758,1433.0,1.0,6.766,1434.0,3.0,6.782,1437.0,9.0,6.827,1446.0,10.0,6.878,1456.0,7.0,6.917,1463.0,0.0,6.917,1463.0,19.0,7.012,1482.0,15.0,7.095,1497.0,71.0,7.44,1568.0,110.0,7.979,1678.0,50.0,8.239,1728.0,4.0,8.258,1732.0,79.0,8.683,1811.0,39.0,8.936,1850.0,28.0,9.071,1878.0,3.0,9.086,1881.0,-1881.0,0.0,0.0,
"Musgrave, Adriane",3.414,724.0,15.0,3.484,739.0,0.0,3.485,739.0,5.0,3.51,744.0,5.0,3.535,749.0,1.0,3.541,750.0,27.0,3.67,777.0,4.0,3.692,781.0,0.0,3.692,781.0,22.0,3.8,803.0,26.0,3.929,829.0,24.0,4.047,853.0,12.0,4.113,865.0,-865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, E. Denise",9.458,2006.0,64.0,9.76,2070.0,1.0,9.767,2071.0,4.0,9.791,2075.0,7.0,9.825,2082.0,4.0,9.848,2086.0,20.0,9.948,2106.0,21.0,10.056,2127.0,-6.0,10.028,2121.0,0.0,10.036,2121.0,0.0,10.052,2121.0,0.0,10.064,2121.0,0.0,10.086,2121.0,0.0,10.113,2121.0,0.0,10.113,2121.0,0.0,10.169,2121.0,0.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.575,2121.0,
"Azeem, Burhan",4.526,960.0,30.0,4.668,990.0,0.0,4.669,990.0,0.0,4.671,990.0,3.0,4.686,993.0,2.0,4.697,995.0,10.0,4.747,1005.0,9.0,4.794,1014.0,0.0,4.794,1014.0,31.0,4.945,1045.0,79.0,5.327,1124.0,17.0,5.414,1141.0,17.0,5.507,1158.0,108.0,6.036,1266.0,0.0,6.036,1266.0,65.0,6.382,1331.0,-1331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Siddiqui, Sumbul",11.858,2515.0,-394.0,10.0,2121.0,0.0,10.003,2121.0,0.0,10.008,2121.0,0.0,10.009,2121.0,0.0,10.013,2121.0,0.0,10.019,2121.0,0.0,10.028,2121.0,0.0,10.028,2121.0,0.0,10.036,2121.0,0.0,10.052,2121.0,0.0,10.064,2121.0,0.0,10.086,2121.0,0.0,10.113,2121.0,0.0,10.113,2121.0,0.0,10.169,2121.0,0.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.575,2121.0,
"Akiba, Sukia",1.697,360.0,11.0,1.749,371.0,0.0,1.75,371.0,2.0,1.76,373.0,5.0,1.784,378.0,8.0,1.822,386.0,3.0,1.838,389.0,10.0,1.886,399.0,0.0,1.886,399.0,17.0,1.968,416.0,-416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Zondervan, Quinton Y.",6.507,1380.0,38.0,6.686,1418.0,0.0,6.688,1418.0,1.0,6.695,1419.0,7.0,6.73,1426.0,16.0,6.808,1442.0,20.0,6.906,1462.0,40.0,7.101,1502.0,0.0,7.101,1502.0,43.0,7.31,1545.0,20.0,7.417,1565.0,48.0,7.654,1613.0,113.0,8.208,1726.0,51.0,8.473,1777.0,1.0,8.478,1778.0,300.0,9.963,2078.0,111.0,10.573,2189.0,-68.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.575,2121.0,
"Simon, Ben",1.386,294.0,5.0,1.41,299.0,1.0,1.415,300.0,1.0,1.42,301.0,2.0,1.43,303.0,5.0,1.454,308.0,1.0,1.46,309.0,-309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Levy, Ilan",0.514,109.0,0.0,0.514,109.0,0.0,0.514,109.0,2.0,0.524,111.0,4.0,0.543,115.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",8.143,1727.0,23.0,8.251,1750.0,2.0,8.263,1752.0,7.0,8.3,1759.0,5.0,8.325,1764.0,6.0,8.356,1770.0,4.0,8.38,1774.0,16.0,8.463,1790.0,1.0,8.468,1791.0,12.0,8.531,1803.0,13.0,8.607,1816.0,12.0,8.674,1828.0,32.0,8.845,1860.0,27.0,8.997,1887.0,0.0,8.997,1887.0,29.0,9.186,1916.0,43.0,9.462,1959.0,34.0,9.627,1993.0,9.0,9.67,2002.0,275.0,11.353,2277.0,
