candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer
"Moore, M. Kevin",1.836,250.0,0.0,1.836,250.0,1.0,1.845,251.0,14.0,1.949,265.0,18.0,2.083,283.0,22.0,2.251,305.0,0.0,2.251,305.0,-305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Maher, David P.",9.622,1310.0,10.0,9.695,1320.0,0.0,9.702,1320.0,2.0,9.721,1322.0,8.0,9.789,1330.0,18.0,9.947,1348.0,2.0,9.962,1350.0,9.0,10.055,1359.0,111.0,10.927,1470.0,-108.0,10.124,1362.0,0.0,10.221,1362.0,0.0,10.221,1362.0,0.0,10.221,1362.0,
"Seidel, Sam",7.617,1037.0,18.0,7.749,1055.0,4.0,7.784,1059.0,16.0,7.905,1075.0,6.0,7.956,1081.0,36.0,8.242,1117.0,0.0,8.242,1117.0,43.0,8.582,1160.0,17.0,8.749,1177.0,10.0,8.823,1187.0,149.0,10.026,1336.0,40.0,10.326,1376.0,-14.0,10.221,1362.0,
"Ward, Larry W.",5.127,698.0,10.0,5.2,708.0,0.0,5.204,708.0,4.0,5.236,712.0,5.0,5.277,717.0,32.0,5.527,749.0,1.0,5.534,750.0,55.0,5.956,805.0,26.0,6.177,831.0,6.0,6.222,837.0,-837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Murphy, Brian",8.513,1159.0,36.0,8.777,1195.0,1.0,8.791,1196.0,5.0,8.832,1201.0,8.0,8.898,1209.0,29.0,9.135,1238.0,0.0,9.135,1238.0,21.0,9.315,1259.0,23.0,9.529,1282.0,19.0,9.671,1301.0,95.0,10.476,1396.0,-34.0,10.221,1362.0,0.0,10.221,1362.0,
writeIns,0.184,25.0,0.0,0.184,25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Podgers, Kathy",0.676,92.0,2.0,0.69,94.0,1.0,0.698,95.0,-95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Decker, Marjorie C.",7.844,1068.0,60.0,8.285,1128.0,1.0,8.298,1129.0,6.0,8.346,1135.0,6.0,8.398,1141.0,23.0,8.589,1164.0,1.0,8.597,1165.0,19.0,8.76,1184.0,64.0,9.277,1248.0,18.0,9.411,1266.0,123.0,10.423,1389.0,-27.0,10.221,1362.0,0.0,10.221,1362.0,
"Davis, Henrietta",11.686,1591.0,-229.0,10.004,1362.0,0.0,10.011,1362.0,0.0,10.015,1362.0,0.0,10.024,1362.0,0.0,10.05,1362.0,0.0,10.05,1362.0,0.0,10.077,1362.0,0.0,10.124,1362.0,0.0,10.124,1362.0,0.0,10.221,1362.0,0.0,10.221,1362.0,0.0,10.221,1362.0,
"Galluccio, Anthony D.",3.827,521.0,8.0,3.885,529.0,1.0,3.896,530.0,0.0,3.897,530.0,3.0,3.923,533.0,14.0,4.036,547.0,0.0,4.036,547.0,12.0,4.136,559.0,-559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",8.212,1118.0,24.0,8.388,1142.0,0.0,8.394,1142.0,11.0,8.479,1153.0,7.0,8.538,1160.0,19.0,8.7,1179.0,0.0,8.7,1179.0,7.0,8.775,1186.0,39.0,9.106,1225.0,17.0,9.232,1242.0,101.0,10.078,1343.0,17.0,10.206,1360.0,11.0,10.288,1371.0,
"Simmons, E. Denise",7.301,994.0,40.0,7.595,1034.0,1.0,7.607,1035.0,11.0,7.692,1046.0,7.0,7.75,1053.0,10.0,7.844,1063.0,0.0,7.844,1063.0,35.0,8.124,1098.0,50.0,8.533,1148.0,24.0,8.712,1172.0,192.0,10.236,1364.0,-2.0,10.221,1362.0,0.0,10.221,1362.0,
