candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
"Harding, Jr., Richard",12.107,1850.0,42.0,12.382,1892.0,2.0,12.429,1894.0,75.0,12.974,1969.0,20.0,13.151,1989.0,0.0,13.151,1989.0,30.0,13.477,2019.0,13.0,13.564,2032.0,105.0,14.547,2137.0,361.0,17.969,2498.0,
"Osborne, Mervan F.",13.514,2065.0,9.0,13.573,2074.0,2.0,13.624,2076.0,36.0,13.917,2112.0,41.0,14.236,2153.0,2.0,14.249,2155.0,68.0,14.839,2223.0,-40.0,14.572,2183.0,0.0,14.86,2183.0,0.0,15.703,2183.0,
"Gerber, Joyce C.",2.84,434.0,7.0,2.886,441.0,0.0,2.894,441.0,12.0,2.985,453.0,114.0,3.749,567.0,0.0,3.749,567.0,56.0,4.159,623.0,9.0,4.219,632.0,-632.0,0.0,0.0,0.0,0.0,0.0,
"Forster, Bill",2.153,329.0,12.0,2.232,341.0,2.0,2.251,343.0,21.0,2.399,364.0,-364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",15.524,2372.0,-189.0,14.287,2183.0,0.0,14.326,2183.0,0.0,14.385,2183.0,0.0,14.434,2183.0,0.0,14.434,2183.0,0.0,14.572,2183.0,0.0,14.572,2183.0,0.0,14.86,2183.0,0.0,15.703,2183.0,
writeIns,0.366,56.0,0.0,0.366,56.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"McGovern, Marc C.",11.577,1769.0,30.0,11.774,1799.0,2.0,11.819,1801.0,24.0,12.026,1825.0,33.0,12.285,1858.0,0.0,12.285,1858.0,69.0,12.863,1927.0,20.0,12.996,1947.0,93.0,13.887,2040.0,632.0,19.22,2672.0,
"Turkel, Alice L.",13.815,2111.0,21.0,13.953,2132.0,1.0,13.998,2133.0,25.0,14.22,2158.0,23.0,14.421,2181.0,1.0,14.427,2182.0,34.0,14.792,2216.0,-33.0,14.572,2183.0,0.0,14.86,2183.0,0.0,15.703,2183.0,
"Tauber, Nancy",9.745,1489.0,19.0,9.869,1508.0,0.0,9.896,1508.0,30.0,10.134,1538.0,21.0,10.308,1559.0,1.0,10.315,1560.0,47.0,10.727,1607.0,31.0,10.934,1638.0,143.0,12.124,1781.0,-1781.0,0.0,0.0,
"Nolan, Patricia M.",13.907,2125.0,20.0,14.038,2145.0,2.0,14.09,2147.0,11.0,14.22,2158.0,29.0,14.46,2187.0,-4.0,14.434,2183.0,0.0,14.572,2183.0,0.0,14.572,2183.0,0.0,14.86,2183.0,0.0,15.703,2183.0,
"Holland, John J.",2.533,387.0,19.0,2.657,406.0,1.0,2.671,407.0,9.0,2.741,416.0,31.0,2.956,447.0,0.0,2.956,447.0,-447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Stead, Sr., Charles Lewis",1.918,293.0,10.0,1.983,303.0,2.0,2.002,305.0,-305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,47.0,0.0,0.0,47.0,42.0,0.0,89.0,62.0,0.0,151.0,52.0,0.0,203.0,0.0,0.0,203.0,143.0,0.0,346.0,0.0,0.0,346.0,291.0,0.0,637.0,788.0,0.0,1425.0,
colsum,99.99900000000001,15327.0,0.0,100.0,15327.0,0.0,100.00000000000001,15327.0,0.0,100.00099999999999,15327.0,0.0,100.00000000000001,15327.0,0.0,99.99999999999999,15327.0,0.0,100.001,15327.0,0.0,100.00099999999999,15327.0,0.0,99.99799999999999,15327.0,0.0,100.001,15327.0,
