candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer
"Levy, Ilan",1.092,246.0,5.0,1.114,251.0,0.0,1.115,251.0,0.0,1.115,251.0,0.0,1.115,251.0,13.0,1.173,264.0,5.0,1.196,269.0,3.0,1.211,272.0,2.0,1.22,274.0,2.0,1.234,276.0,-276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sivongxay, Vatsady",3.285,740.0,68.0,3.587,808.0,0.0,3.588,808.0,2.0,3.598,810.0,0.0,3.599,810.0,5.0,3.623,815.0,10.0,3.668,825.0,13.0,3.73,838.0,20.0,3.822,858.0,4.0,3.854,862.0,19.0,3.942,881.0,34.0,4.101,915.0,7.0,4.152,922.0,30.0,4.292,952.0,125.0,4.882,1077.0,89.0,5.331,1166.0,11.0,5.382,1177.0,53.0,5.662,1230.0,-1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toner, Paul F.",4.351,980.0,22.0,4.449,1002.0,0.0,4.45,1002.0,3.0,4.464,1005.0,5.0,4.488,1010.0,4.0,4.507,1014.0,2.0,4.518,1016.0,4.0,4.54,1020.0,4.0,4.561,1024.0,8.0,4.614,1032.0,16.0,4.69,1048.0,4.0,4.715,1052.0,30.0,4.872,1082.0,25.0,4.991,1107.0,14.0,5.082,1121.0,25.0,5.24,1146.0,5.0,5.263,1151.0,155.0,6.012,1306.0,62.0,6.345,1368.0,30.0,6.484,1398.0,116.0,7.248,1514.0,19.0,7.339,1533.0,-1533.0,0.0,0.0,
"Simmons, E. Denise",11.614,2616.0,-363.0,10.003,2253.0,0.0,10.006,2253.0,0.0,10.008,2253.0,0.0,10.012,2253.0,0.0,10.014,2253.0,0.0,10.018,2253.0,0.0,10.029,2253.0,0.0,10.036,2253.0,0.0,10.073,2253.0,0.0,10.082,2253.0,0.0,10.097,2253.0,0.0,10.145,2253.0,0.0,10.157,2253.0,0.0,10.213,2253.0,0.0,10.301,2253.0,0.0,10.301,2253.0,0.0,10.371,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.786,2253.0,0.0,10.786,2253.0,0.0,11.263,2253.0,
"Benjamin, Ronald",1.074,242.0,12.0,1.128,254.0,0.0,1.128,254.0,1.0,1.133,255.0,2.0,1.142,257.0,2.0,1.151,259.0,2.0,1.161,261.0,3.0,1.175,264.0,5.0,1.198,269.0,-269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Tierney, Sean",3.459,779.0,15.0,3.525,794.0,1.0,3.531,795.0,2.0,3.54,797.0,2.0,3.55,799.0,1.0,3.556,800.0,3.0,3.571,803.0,7.0,3.606,810.0,9.0,3.648,819.0,5.0,3.684,824.0,7.0,3.719,831.0,13.0,3.782,844.0,31.0,3.94,875.0,127.0,4.517,1002.0,38.0,4.714,1040.0,84.0,5.139,1124.0,13.0,5.199,1137.0,-1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Gebru, Samuel",3.494,787.0,40.0,3.672,827.0,0.0,3.673,827.0,1.0,3.678,828.0,1.0,3.684,829.0,2.0,3.694,831.0,4.0,3.713,835.0,3.0,3.73,838.0,5.0,3.755,843.0,24.0,3.876,867.0,4.0,3.898,871.0,14.0,3.966,885.0,24.0,4.093,909.0,38.0,4.269,947.0,61.0,4.569,1008.0,-1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sutton, Bryan",0.2,45.0,2.0,0.209,47.0,0.0,0.209,47.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Musgrave, Adriane B.",2.575,580.0,8.0,2.611,588.0,0.0,2.611,588.0,2.0,2.621,590.0,2.0,2.631,592.0,2.0,2.64,594.0,4.0,2.659,598.0,1.0,2.666,599.0,4.0,2.686,603.0,6.0,2.723,609.0,4.0,2.743,613.0,13.0,2.805,626.0,13.0,2.877,639.0,-639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"D'Ambrosio, Olivia",0.959,216.0,6.0,0.986,222.0,1.0,0.99,223.0,3.0,1.004,226.0,0.0,1.004,226.0,2.0,1.013,228.0,3.0,1.027,231.0,6.0,1.055,237.0,-237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
