Ballots with first choice:,Number of Ballots,% of votes to Susan Collins,% of votes to Sara Gideon,% of votes to exhaust,percent_sum
Lisa Savage,45.134413474999995,20.54,62.1,17.36,100.0
Max Linn,8.925392197999999,62.14,2.76,35.1,100.0
Sara Gideon,460.3550443879995,0.0,100.0,0.0,100.0
Susan Collins,454.2483149480007,100.0,0.0,0.0,100.0
